,cc_b3m1
458,-0.972617709726503
459,-1.0300028219941382
460,-1.0750410010068059
461,-0.722737598319469
462,-0.5799468043203095
463,-0.8437104443323022
464,-0.7183101677089141
465,-1.0734360191155492
466,-0.6635682525551978
467,-0.7389041660539668
468,-0.9811985309645106
469,-0.7668618267564682
470,-0.6414463065769684
471,-0.7048433325282453
472,-0.5633946502492027
473,-0.6951302027745498
474,-0.92837470946424
475,-0.848996238764224
476,-0.7408061251430258
477,-0.5500554914624143
478,-0.7391904277704686
479,-0.8028664018149012
480,-0.3694576492482291
481,-0.7766928882432307
482,-0.8710397973774953
483,-0.7219001115539214
484,-0.6758449250370457
485,-0.9455233244513099
486,-0.9489403178537685
487,-0.6910561542401705
488,-1.0843343133413565
489,-1.1777525088235983
490,-0.5385399617162996
491,-0.4948785179289068
492,-0.6375438930826309
493,-1.0262783151227595
494,-0.4336565437988522
495,-1.0305795392645987
496,-0.879697997665918
497,-0.7323834219532976
498,-1.021624998043503
499,-0.626562821738144
500,-0.6774528752825191
501,-0.6966134891710567
502,-0.8593323933610257
503,-0.7915918424995532
504,-0.7812568165661649
505,-0.7738572530322649
506,-0.5362489346282331
507,-0.45275611603855026
508,-0.7100448672383521
509,-0.8115582705871596
510,-0.8503339072235292
511,-0.5604105023748538
512,-0.9005789036736616
513,-0.9914138531100978
514,-0.8389146167780339
515,-0.687242190858905
516,-0.6593065558768654
517,-0.8063110341821353
518,-0.7373212239638818
519,-0.9180733171464048
520,-0.544567289064533
521,-0.3486827804963486
522,-0.5229454603184749
523,-0.8079660345409092
524,-0.8049518923749854
525,-1.053568918529196
526,-0.9835991312895285
527,-0.7989174850291132
528,-0.3651801603994276
529,-0.6510162303093256
530,-0.5544441846313006
531,-0.6491198332895252
532,-0.34207847792282386
533,-0.7879491666632958
534,-0.5287330663636514
535,-0.6574525450593907
536,-0.8172701460347795
537,-0.6736320521895589
538,-1.0387172489377594
539,-0.6512056882003421
540,-0.7493125123802287
541,-0.8444804593966602
542,-0.6794929196525992
543,-0.8042587400236272
544,-0.4329068862856609
545,-0.75233479391005
546,-0.8557830588772823
547,-1.0904853639342331
548,-0.6251797142193674
549,-0.9076366436208705
550,-1.038487485093615
551,-1.052873695403937
552,-0.699935531680282
553,-0.6598465492162813
554,-0.8458683501000657
555,-1.1926276264838656
556,-0.9044200813348535
557,-0.780984029108474
558,-0.9156668462192759
559,-0.7165810505736321
560,-0.7209880731032339
561,-0.6673301136969378
562,-0.9119490210185717
563,-0.8246871301714407
564,-0.6506693826651055
565,-0.8806526879682082
566,-0.9702941031988921
567,-1.0593391569426593
568,-1.2322223425571046
569,-1.107440876841686
570,-0.8959338976427702
571,-0.654666343042166
572,-0.9874212515373451
573,-0.9815329525884682
574,-1.2411067892204848
575,-1.312745562049118
576,-0.9728571729738924
577,-0.9686781646074873
578,-0.8871143642950443
579,-0.7741224199661012
580,-0.8730997932488336
581,-0.8476769846250143
582,-1.159386449102204
583,-0.9469322476891833
584,-0.9432594652823241
585,-1.247372933810702
586,-1.430193450214956
587,-0.8877777858090514
588,-0.9707802985504337
589,-0.7263517957049537
590,-0.8437869792740997
591,-1.050072174603212
592,-0.7407682723106497
593,-1.1279202490087634
594,-0.8262765467334017
595,-0.8170072629379916
596,-0.9748701920685026
597,-0.9496872461100452
598,-1.010988132382634
599,-0.7999566923323123
600,-0.692186492874864
601,-0.7750478157349505
602,-0.8411152215316058
603,-1.2768139199619828
604,-0.891800090985722
605,-0.6621781640280879
606,-0.8680194138169384
607,-0.6283967596690836
608,-0.9524022856840606
609,-0.9758087556195818
610,-0.46063585268527696
611,-0.41340302309808763
612,-1.0585431474430376
613,-0.6317359875006883
614,-0.9749089724103044
615,-0.6368755538524624
616,-1.0531618586530502
617,-0.9879859661317969
618,-0.8474751825111841
619,-0.59365968081962
620,-0.40066515294237526
621,-0.7909233589149096
622,-0.748981223760028
623,-0.8887858928403638
624,-1.0241041962214972
625,-1.159660842362129
626,-0.9370605687755731
627,-0.8567572285251952
628,-0.4960542444354612
629,-0.7357085444044618
630,-0.8770057158411788
631,-0.7135403546213368
632,-0.8936313268002092
633,-0.6009972864892212
634,-0.7784312160997207
635,-0.7753311268185392
636,-0.5511391912783399
637,-0.6540709130960067
638,-0.9758832856560584
639,-0.8852856660084836
640,-0.8224191810478416
641,-0.7981920661842956
642,-0.5677572936939992
643,-0.765060347559384
644,-0.5432397641336877
645,-0.34499048074402516
646,-0.623050996003526
647,-0.3250737741911607
648,-0.4446758042011556
649,-0.47281856368113395
650,-0.6132780049033375
651,-0.8245746782416941
652,-0.6351179904415325
653,-0.7505180349062641
654,-0.43560939348227024
655,-0.788280508689283
656,-0.4684176934168729
657,-0.53453867115139
658,-0.5265837731415903
659,-0.8013627584569996
660,-0.665001139238953
661,-0.384401916337497
662,-0.40729829739577994
663,-0.48835507700614755
664,-0.5006308391468721
665,-0.6814071915049773
666,-0.963577117275916
667,-0.6152349033677069
668,-0.45548163025410027
669,-0.4631458305927101
670,-0.40900318426574245
671,-0.44376888946398907
672,-0.37111316884966783
673,-0.2738517943487242
674,-0.2986911893013371
675,-0.1139426151628058
676,-0.3977028872365267
677,-0.5057971505535317
678,-0.30287294938691645
679,-0.3407432845754119
680,-0.44811813026791647
681,-0.11404689200680007
682,-0.25732015958008336
683,-0.40582511751175687
684,-0.2276056878559718
685,-0.4999185530167427
686,-0.2789930899483437
687,-0.11936648699402674
688,-0.2228717313047408
689,-0.442350377877327
690,-0.3851847316709245
691,-0.15025065382649672
692,-0.39657832600590925
693,-0.33621673324883794
694,-0.21757239084848923
695,-0.26269029540223165
696,-0.3995785625327528
697,-0.5394071675660115
698,-0.42357235507803637
699,-0.6561776058930082
700,-0.358646692661285
701,-0.4532290468764195
702,-0.69703905432387
703,-0.6384396061886832
704,-0.6549826859726249
705,-0.6014554783900685
706,-0.41610341137663376
707,-0.42210537954144733
708,-0.35890269653388707
709,-0.1913257716926804
710,-0.21881208601843127
711,-0.6427029596183633
712,0.009748715279025433
713,-0.25369134661800974
714,-0.04298513863322473
715,-0.2644988625045883
716,-0.34012121695120445
717,-0.1952828836865237
718,-0.18782838490699127
719,-0.19626366026663966
720,-0.1953689587395493
721,-0.22721892796722631
722,-0.546031641650611
723,-0.0793430926299763
724,-0.32714912117183914
725,-0.5776804359575198
726,-0.37776557501679164
727,-0.5223750627894148
728,-0.5653040954379644
729,-0.4171072052139291
730,-0.7990836611490426
731,-0.4501156969936062
732,-0.32346501592080124
733,-0.4686961901891955
734,-0.5186766433225092
735,-0.3078748086203831
736,-0.11501858192582581
737,-0.46557674506987823
738,-0.3923292525735018
